lot,artist,title,estimate_low_usd,estimate_high_usd,sold_price_usd
616,Raymond Pettibon,No Title (There was no...),250000,350000,486400
617,Kerry James Marshall,Study for Bride of Frankenstein and Study for Frankenstein [Two Works],600000,800000,Bidding is closed
618,Ed Ruscha,Paradise,400000,600000,512000
619,Jonas Wood,French Open Four,400000,600000,896000
620,Banksy,Spray Can Flame,400000,600000,512000
621,Rashid Johnson,Untitled Broken Crowd,800000,1200000,1024000
622,Jonas Wood,Frimkess Still Life with Red-Leafed Plant,60000,80000,89600
623,Lisa Yuskavage,Photoshoot,600000,800000,832000
625,Fernando Botero,The Bride,800000,1200000,870400
626,Alex Katz,Emma,600000,800000,960000
627,Yayoi Kusama,Butterflies,600000,800000,Bidding is closed
628,Jonas Wood,Clipping J1,500000,700000,640000
629,Scott Kahn,Cul de Sac,80000,120000,409600
630,Deborah Roberts,This is who I am,80000,120000,128000
631,Francesco Clemente,In the Center,8000,12000,32000
632,Lubaina Himid,Untitled,15000,20000,70400
633,Ross Bleckner,Former Painting,8000,12000,10880
634,Mark Tansey,Study for Forward Retreat,250000,350000,576000
635,Robert Mapplethorpe,Self Portrait,50000,70000,51200
636,Felix Gonzalez-Torres,"""Untitled""",100000,150000,217600
637,David Salle,Symphony Concertante II,50000,70000,166400
638,Thomas Struth,"Musée d'Orsay I, Paris",70000,100000,35840
639,Tracey Emin,Good Smile Great Come,20000,30000,32000
640,Cindy Sherman,Untitled #220,70000,100000,
641,Walton Ford,The Frontier,15000,20000,64000
642,Richard Serra,Walkin' the Dog,500000,700000,1152000
643,Jenny Holzer,The Living Series: There's the sensation of a lot of flesh...,50000,70000,83200
644,Nick Cave,Hustle Coat,40000,60000,153600
645,Richard Artschwager,Possible Scratch,60000,80000,153600
646,Deborah Butterﬁeld,Untitled,30000,40000,409600
647,Guillermo Kuitca,Tres noches,50000,70000,332800
648,Ed Ruscha,Five Views From The Panhandle,20000,30000,19200
649,Sarah Sze,View Finder (Birds Nest),30000,40000,53760
650,Jim Hodges,Wandering,30000,40000,Bidding is closed
651,Rudolf Stingel,Untitled (Studio Floor),30000,40000,61440
652,Sigmar Polke,Untitled,30000,40000,53760
654,Ron Nagle,French Stickler,20000,30000,Bidding is closed
655,Thomas Schütte,Wichte,200000,300000,Bidding is closed
656,Anselm Kiefer,Sefer Hechaloth,600000,800000,Bidding is closed
657,Sean Scully,Untitled (Landline),450000,550000,877600
658,Christopher Wool,Untitled,1000000,1500000,1280000
659,Mary Heilmann,Neil Young,120000,180000,166400
660,Mark Grotjahn,Untitled (Large Colored Butterfly White Background Ten Wings),400000,600000,614400
662,Yoshitomo Nara,Over the Topper,800000,1200000,1216000
663,Andy Warhol,Ads,2000000,3000000,2926000
664,Robert Longo,"Untitled (After De Kooning, Woman 1, 1950-1952)",150000,200000,204800
665,Richard Prince,Untitled (Four Women with Hats),150000,200000,217600
666,Ed Ruscha,No Go,70000,100000,166400
667,Mark Tansey,Iconograph I,80000,120000,Bidding is closed
668,Jennifer Guidi,"All things Wild (Black Sand SF #2 Mandala, Pattern Ground)",120000,180000,Bidding is closed
669,Laura Owens,Untitled,150000,200000,256000
670,Elizabeth Peyton,Mendips,900000,1200000,998400
671,Lisa Yuskavage,Ludlow Street,700000,1000000,768000
672,Antony Gormley,STEM II,400000,600000,640000
673,Jörg Immendorﬀ,Nachtwache,100000,150000,281600
674,Yu Nishimura,a man's work,40000,60000,204800
675,Claudio Bravo,Tres paquetes naranjas,350000,550000,409600
676,Keith Haring,Andy Mouse,150000,250000,204800
677,Raymond Pettibon,No Title (Never had a...),100000,150000,320000
678,Adrian Ghenie,The Blue Rain,600000,800000,896000
679,Feng Xiao Min,Composition n°28.3.22,40000,60000,192000
680,David Hockney,"The Arrival of Spring in Woldgate, East Yorkshire in 2011 (twenty eleven) - 15 March",120000,180000,217600
