lot,artist,title,estimate_low_usd,estimate_high_usd,sold_price_usd,midpoint,norm_position,sold_over_mid,log_sold_over_mid
431,Ray Johnson,Untitled (Moticos Panel with Harlo),4000,6000,2816,5000.0,-0.592,0.5632,-0.5741
432,Annette Lemieux,Walking on Water,3000,5000,3200,4000.0,0.1,0.8,-0.2231
433,Barbara Bloom,Headache,2000,3000,1024,2500.0,-0.976,0.4096,-0.8926
434,Anne Collier,Double Exposure,500,700,896,600.0,1.98,1.4933,0.401
435,Hélène Jacubowitz,Etreinte,800,1200,4480,1000.0,9.2,4.48,1.4996
436,Donna Rosenthal,He said...She said,800,1200,4480,1000.0,9.2,4.48,1.4996
438,Rafael Soriano,En pos del abismo,20000,30000,25600,25000.0,0.56,1.024,0.0237
439,Alejandro Obregón,Tigre persiguiendo un colibrí,30000,50000,76800,40000.0,2.34,1.92,0.6523
440,Zilia Sánchez,Sin título,20000,30000,19200,25000.0,-0.08,0.768,-0.264
441,Fritz Koenig,Gerahmte Figuren,20000,30000,89600,25000.0,6.96,3.584,1.2765
442,Esteban Vicente,Untitled,8000,12000,96000,10000.0,22.0,9.6,2.2618
443,Esteban Vicente,Collage,8000,12000,83200,10000.0,18.8,8.32,2.1187
444,Conrad Marca-Relli,Untitled,5000,7000,5760,6000.0,0.38,0.96,-0.0408
445,Conrad Marca-Relli,Untitled,5000,7000,5760,6000.0,0.38,0.96,-0.0408
446,Kazuya Sakai,Verushka,15000,20000,19200,17500.0,0.84,1.0971,0.0927
447,Leon Polk Smith,Correspondence Mauve-Scarlet,30000,50000,53760,40000.0,1.188,1.344,0.2957
448,Mercedes Pardo,Untitled,35000,45000,70400,40000.0,3.54,1.76,0.5653
501,Keith Haring,Untitled,5000,7000,19200,6000.0,7.1,3.2,1.1632
502,Keith Haring,Untitled,300000,400000,256000,350000.0,-0.44,0.7314,-0.3128
503,Keith Haring,Untitled,80000,120000,192000,100000.0,2.8,1.92,0.6523
504,Keith Haring,Untitled,150000,200000,281600,175000.0,2.632,1.6091,0.4757
505,Keith Haring,The Blueprint Drawings [17 works],300000,500000,486400,400000.0,0.932,1.216,0.1956
506,Keith Haring,Untitled,250000,350000,192000,300000.0,-0.58,0.64,-0.4463
507,Keith Haring,Untitled,150000,200000,448000,175000.0,5.96,2.56,0.94
